PHOTO_NAME,Longitude,Latitude,PhotoName
WA15_transect_030804_002,153.4265005,-27.45214149,WA15_transect_030804_002.jpg
WA15_transect_030804_003,153.4264818,-27.45213469,WA15_transect_030804_003.jpg
WA15_transect_030804_004,153.4264632,-27.45212788,WA15_transect_030804_004.jpg
WA15_transect_030804_005,153.4264446,-27.45212108,WA15_transect_030804_005.jpg
WA15_transect_030804_006,153.4264259,-27.45211427,WA15_transect_030804_006.jpg
WA15_transect_030804_007,153.4264073,-27.45210747,WA15_transect_030804_007.jpg
WA15_transect_030804_008,153.4263886,-27.45210067,WA15_transect_030804_008.jpg
WA15_transect_030804_009,153.42637,-27.45209386,WA15_transect_030804_009.jpg
WA15_transect_030804_010,153.4263513,-27.45208706,WA15_transect_030804_010.jpg
WA15_transect_030804_011,153.4263327,-27.45208025,WA15_transect_030804_011.jpg
WA15_transect_030804_012,153.426314,-27.45207345,WA15_transect_030804_012.jpg
WA15_transect_030804_013,153.4262954,-27.45206664,WA15_transect_030804_013.jpg
WA15_transect_030804_014,153.4262767,-27.45205984,WA15_transect_030804_014.jpg
WA15_transect_030804_015,153.4262581,-27.45205304,WA15_transect_030804_015.jpg
N.D.,153.4262394,-27.45204623,N.D..jpg
WA15_transect_030804_016,153.4262208,-27.45203943,WA15_transect_030804_016.jpg
WA15_transect_030804_017,153.4262022,-27.45203262,WA15_transect_030804_017.jpg
WA15_transect_030804_018,153.4261835,-27.45202582,WA15_transect_030804_018.jpg
WA15_transect_030804_019,153.4261649,-27.45201902,WA15_transect_030804_019.jpg
WA15_transect_030804_020,153.4261462,-27.45201221,WA15_transect_030804_020.jpg
WA15_transect_030804_021,153.4261276,-27.45200541,WA15_transect_030804_021.jpg
WA15_transect_030804_022,153.4261089,-27.4519986,WA15_transect_030804_022.jpg
WA15_transect_030804_023,153.4260903,-27.4519918,WA15_transect_030804_023.jpg
WA15_transect_030804_024,153.4260716,-27.451985,WA15_transect_030804_024.jpg
WA15_transect_030804_025,153.426053,-27.45197819,WA15_transect_030804_025.jpg
WA15_transect_030804_026,153.4260343,-27.45197139,WA15_transect_030804_026.jpg
WA15_transect_030804_027,153.4260157,-27.45196458,WA15_transect_030804_027.jpg
