Name,Latitude,Longitude
20230716_AMT10_00000,-27.47669076,153.383399248150000
20230716_AMT10_00001,-27.47669281,153.383399834850000
20230716_AMT10_00002,-27.476696,153.383400086300000
20230716_AMT10_00003,-27.47670346,153.383403229550000
20230716_AMT10_00004,-27.47670338,153.383404444900000
20230716_AMT10_00005,-27.47670455,153.383405869800000
20230716_AMT10_00006,-27.47670463,153.383410060800000
20230716_AMT10_00007,-27.47670379,153.383409893100000
20230716_AMT10_00008,-27.47670409,153.383410773200000
20230716_AMT10_00009,-27.47670459,153.383413078250000
20230716_AMT10_00010,-27.47670279,153.383419993350000
20230716_AMT10_00011,-27.47670078,153.383425483500000
20230716_AMT10_00012,-27.47669692,153.383442331100000
20230716_AMT10_00013,-27.4766921,153.383449497650000
20230716_AMT10_00014,-27.47668242,153.383468566500000
20230716_AMT10_00015,-27.47667857,153.383476780750000
20230716_AMT10_00016,-27.47666499,153.383499495700000
20230716_AMT10_00017,-27.47665891,153.383505027750000
20230716_AMT10_00018,-27.47664659,153.383515463200000
20230716_AMT10_00019,-27.47663393,153.383524850950000
20230716_AMT10_00020,-27.47662107,153.383532185150000
20230716_AMT10_00021,-27.47660887,153.383538764899000
20230716_AMT10_00022,-27.47659198,153.383549954700000
20230716_AMT10_00023,-27.47657752,153.383565335549000
20230716_AMT10_00024,-27.47657044,153.383579668600000
20230716_AMT10_00025,-27.47656457,153.383604437100000
20230716_AMT10_00026,-27.47655627,153.383626523450000
20230716_AMT10_00027,-27.47654261,153.383653848450000
20230716_AMT10_00028,-27.47653222,153.383673923100000
20230716_AMT10_00029,-27.47651872,153.383696386600000
20230716_AMT10_00030,-27.47651051,153.383707199200000
20230716_AMT10_00031,-27.47649647,153.383723711600000
20230716_AMT10_00032,-27.47648218,153.383737541700000
20230716_AMT10_00033,-27.47647304,153.383746258900000
20230716_AMT10_00034,-27.47646701,153.383755143700000
20230716_AMT10_00035,-27.47645712,153.383771949450000
20230716_AMT10_00036,-27.47644802,153.383781295300000
20230716_AMT10_00037,-27.47642719,153.383791353600000
20230716_AMT10_00038,-27.47641261,153.383792946100000
20230716_AMT10_00039,-27.47640624,153.383793784300000
20230716_AMT10_00040,-27.47638897,153.383796382700000
20230716_AMT10_00041,-27.47637883,153.383798142900000
20230716_AMT10_00042,-27.47636257,153.383799232500000
20230716_AMT10_00043,-27.47635167,153.383799358250000
20230716_AMT10_00044,-27.47634178,153.383798813450000
20230716_AMT10_00045,-27.47633147,153.383796047399000
20230716_AMT10_00046,-27.47632112,153.383790892550000
20230716_AMT10_00047,-27.47631194,153.383784857600000
20230716_AMT10_00048,-27.47630415,153.383781379100000
20230716_AMT10_00049,-27.47628742,153.383783474550000
20230716_AMT10_00050,-27.47626953,153.383790850600000
20230716_AMT10_00051,-27.47625012,153.383795921650000
20230716_AMT10_00052,-27.47623164,153.383796298900000
20230716_AMT10_00053,-27.47622624,153.383796131250000
20230716_AMT10_00054,-27.47620662,153.383791605000000
20230716_AMT10_00055,-27.47619816,153.383790389600000
20230716_AMT10_00056,-27.47618588,153.383792275600000
20230716_AMT10_00057,-27.47618194,153.383793658599000
20230716_AMT10_00058,-27.47616853,153.383796215100000
20230716_AMT10_00059,-27.47615763,153.383795544500000
20230716_AMT10_00060,-27.47614225,153.383789425700000
20230716_AMT10_00061,-27.4761324,153.383785402400000
20230716_AMT10_00062,-27.47611807,153.383783977500000
20230716_AMT10_00063,-27.47611337,153.383784983300000
20230716_AMT10_00064,-27.47609938,153.383787330200000
20230716_AMT10_00065,-27.47608479,153.383781965799000
20230716_AMT10_00066,-27.47607377,153.383779828449000
20230716_AMT10_00067,-27.47605445,153.383783139300000
20230716_AMT10_00068,-27.47604422,153.383790431500000
20230716_AMT10_00069,-27.47602842,153.383804010250000
20230716_AMT10_00070,-27.47602188,153.383813607500000
20230716_AMT10_00071,-27.47601304,153.383827479600000
20230716_AMT10_00072,-27.47600382,153.383836532000000
20230716_AMT10_00073,-27.4759951,153.383843908100000
20230716_AMT10_00074,-27.4759848,153.383849691600000
20230716_AMT10_00075,-27.47595588,153.383860169000000
20230716_AMT10_00076,-27.47594272,153.383871987500000
20230716_AMT10_00077,-27.47592906,153.383892020200000
20230716_AMT10_00078,-27.47589645,153.383913477900000
20230716_AMT10_00079,-27.47587273,153.383929152000000
20230716_AMT10_00080,-27.47586032,153.383945329100000
20230716_AMT10_00081,-27.47583916,153.383966577250000
20230716_AMT10_00082,-27.47581422,153.383990423800000
20230716_AMT10_00083,-27.47578983,153.384021520600000
20230716_AMT10_00084,-27.47575161,153.384054629100000
20230716_AMT10_00085,-27.4757382,153.384069297500000
20230716_AMT10_00086,-27.47571372,153.384094862300000
20230716_AMT10_00087,-27.47568787,153.384115775099000
20230716_AMT10_00088,-27.4756688,153.384139244450000
20230716_AMT10_00089,-27.47565446,153.384169209700000
20230716_AMT10_00090,-27.47564105,153.384191086500000
20230716_AMT10_00091,-27.47560945,153.384218243900000
20230716_AMT10_00092,-27.47560132,153.384230984400000
20230716_AMT10_00093,-27.47557643,153.384251939100000
20230716_AMT10_00094,-27.47555631,153.384283036000000
20230716_AMT10_00095,-27.47553812,153.384312037400000
20230716_AMT10_00096,-27.47551985,153.384335339100000
20230716_AMT10_00097,-27.47550053,153.384360694300000
20230716_AMT10_00098,-27.47547325,153.384394263800000
20230716_AMT10_00099,-27.47544894,153.384415134800000
20230716_AMT10_00100,-27.47541562,153.384437556400000
20230716_AMT10_00101,-27.47538461,153.384464504200000
20230716_AMT10_00102,-27.47536537,153.384499708200000
20230716_AMT10_00103,-27.47534174,153.384536462850000
20230718_AMT1_00000,-27.46403798,153.388029830500000
20230718_AMT1_00001,-27.46403421,153.388025388100000
20230718_AMT1_00002,-27.46401263,153.387968223500000
20230718_AMT1_00003,-27.46400982,153.387958877700000
20230718_AMT1_00004,-27.46400228,153.387941988200000
20230718_AMT1_00005,-27.4639975,153.387932013700000
20230718_AMT1_00006,-27.46399147,153.387916674800000
20230718_AMT1_00007,-27.46398778,153.387905652600000
20230718_AMT1_00008,-27.46398409,153.387894714250000
20230718_AMT1_00009,-27.46398216,153.387889517500000
20230718_AMT1_00010,-27.46397759,153.387873382300000
20230718_AMT1_00011,-27.46397403,153.387856241300000
20230718_AMT1_00012,-27.46397009,153.387846015400000
20230718_AMT1_00013,-27.46396431,153.387832269050000
20230718_AMT1_00014,-27.46396171,153.387816846400000
20230718_AMT1_00015,-27.46396054,153.387800082600000
20230718_AMT1_00016,-27.46396242,153.387778541100000
20230718_AMT1_00017,-27.46396783,153.387761190500000
20230718_AMT1_00018,-27.46397763,153.387741744500000
20230718_AMT1_00019,-27.4639853,153.387727704850000
20230718_AMT1_00020,-27.46399004,153.387719783950000
20230718_AMT1_00021,-27.46399691,153.387707043400000
20230718_AMT1_00022,-27.46400211,153.387697739500000
20230718_AMT1_00023,-27.46400831,153.387682442550000
20230718_AMT1_00024,-27.46401619,153.387669995400000
20230718_AMT1_00025,-27.4640239,153.387657632150000
20230718_AMT1_00026,-27.46403388,153.387638228000000
