Location,Location name,"Lat
(GDA94)","Long
(GDA94)","Survey
date","Survey
time","Depth
(m)","Chlorophyll a
(ug/L)","Secchi depth
(metres)","Total N
(mg/L)","Ammonia
(mg/L)","Organic N
(mg/L)","NOx
(mg/L)","DO
(mg/L)","DO saturation
(%)",pH (Unit),"Pheopigments
(ug/L)","FRP
(mg/L)","Total P
(mg/L)","Salinity
(g/L)","Conductivity
(mS/cm)","Temp
(deg C)","Turbidity
(NTU)","TSS
(mg/L)"
E00506,MORETON BAY GRID REFERENCE 336670 (EHMP) SITE 506,-27.40198,153.33657,16/01/2007,,0.2,0.800,4.0,0.11,0.002,0.106,0.002,6.8,102.3,8.13,0.10,0.006,0.018,36.0,54.3,26.19,1.00,
E00506,MORETON BAY GRID REFERENCE 336670 (EHMP) SITE 506,-27.40198,153.33657,16/01/2007,,2.0,,,,,,,6.8,102.2,8.13,,,,36.0,54.4,26.1,1,
E00506,MORETON BAY GRID REFERENCE 336670 (EHMP) SITE 506,-27.40198,153.33657,16/01/2007,,4.0,,,,,,,6.7,101.9,8.13,,,,36.0,54.3,26.0,1,
E00506,MORETON BAY GRID REFERENCE 336670 (EHMP) SITE 506,-27.40198,153.33657,16/01/2007,,6.0,,,,,,,6.7,101.3,8.13,,,,36.0,54.3,26.0,1,
E00506,MORETON BAY GRID REFERENCE 336670 (EHMP) SITE 506,-27.40198,153.33657,16/01/2007,,8.0,,,,,,,6.7,100.6,8.13,,,,35.9,54.3,25.8,1,
E00506,MORETON BAY GRID REFERENCE 336670 (EHMP) SITE 506,-27.40198,153.33657,16/01/2007,,10.0,,,,,,,6.7,100.3,8.12,,,,35.9,54.3,25.8,1,
E00506,MORETON BAY GRID REFERENCE 336670 (EHMP) SITE 506,-27.40198,153.33657,16/01/2007,,12.0,,,,,,,6.6,100.0,8.12,,,,35.9,54.3,25.8,,
E00506,MORETON BAY GRID REFERENCE 336670 (EHMP) SITE 506,-27.40198,153.33657,16/01/2007,,14.0,,,,,,,6.6,99.5,8.12,,,,36.0,54.3,25.8,1,
E00506,MORETON BAY GRID REFERENCE 336670 (EHMP) SITE 506,-27.40198,153.33657,16/01/2007,,16.0,,,,,,,6.6,99.1,8.12,,,,36.0,54.3,25.8,1,
E00507,MORETON BAY GRID REFERENCE 388712 (EHMP) SITE 507,-27.38105,153.39318,16/01/2007,,0.2,1.300,3.0,0.13,0.002,0.126,0.002,7.0,107.2,8.20,0.10,0.004,0.018,36.0,54.4,26.56,1.00,
E00507,MORETON BAY GRID REFERENCE 388712 (EHMP) SITE 507,-27.38105,153.39318,16/01/2007,,2.0,,,,,,,7.0,106.8,8.19,,,,36.0,54.4,26.6,1,
E00507,MORETON BAY GRID REFERENCE 388712 (EHMP) SITE 507,-27.38105,153.39318,16/01/2007,,4.0,,,,,,,7.0,106.5,8.18,,,,36.0,54.4,26.5,1,
E00507,MORETON BAY GRID REFERENCE 388712 (EHMP) SITE 507,-27.38105,153.39318,16/01/2007,,5.5,,,,,,,7.0,106.3,8.16,,,,36.0,54.4,26.1,,
E00531,MORETON BAY (EHMP) SITE 531,-27.43896,153.41352,16/01/2007,,0.2,1.500,3.0,0.15,0.002,0.146,0.002,6.8,104.3,8.12,0.20,0.002,0.013,36.1,54.5,26.62,1.00,
